Property Number,System Description,Service Entry Date,System Owner,Under Maint?,Maintenance PO#,Pct FOUS,Risk (0-5),Replace/ Fund?,Replacement Cost,Total Cost,Notes,,,,,,,,,,
,misc cables/adapters,,,,,1,5,No,20000,0,Jason: Spend on GS Code,,,,,,,,,,
,Spectra Library retrofit,,,,,1,3,No,103000,0,Convert Red TFinity to RCE if T10K migration complete Jason: Still unfunded.,,,,,,,,,,
,LTO-9 Media 205A,,,,,1,4,No,80000,0,Convert 205A LTO-7 to LTO-9 Jason: Spend on GS Code,,,,,,,,,,
,LTO-9 Drives 205A,,,,,1,4,No,140000,0,Drives to complete LTO-7 -> LTO-9 conversion Jason: Spend on GS Code,,,,,,,,,,
,LTO-9 Media for Secure HPSS,,,,,1,4,No,300000,0,continue LTO-7 -> LTO-9 conversion Jason: Spend on GS Code,,,,,,,,,,
,LTO-9 Drives for Secure HPSS,,,,,1,4,No,200000,0,continue LTO-7 -> LTO-9 conversion Jason: Spend on GS Code,,,,,,,,,,
,Secure Core Server Replacement,,,,,1,5,No,101824,0,Jason: Spend on GS code,,,,,,,,,,
