Property Number,System Description,Service Entry Date,System Owner,Under Maint?,Maintenance PO#,Pct FOUS,Risk (0-5),Replace/ Fund?,Replacement Cost,Total Cost,Notes
1,misc cables/adapters,2022-10-01,,,,1,5,No,20000,0,Jason: Spend on GS Code
2,Spectra Library retrofit,2022-10-01,,,,1,3,No,103000,0,Convert Red TFinity to RCE if T10K migration complete Jason: Still unfunded.
3,LTO-9 Media 205A,2022-10-01,,,,1,4,No,80000,0,Convert 205A LTO-7 to LTO-9 Jason: Spend on GS Code
4,LTO-9 Drives 205A,2022-10-01,,,,1,4,No,140000,0,Drives to complete LTO-7 -> LTO-9 conversion Jason: Spend on GS Code
5,LTO-9 Media for Secure HPSS,2022-10-01,,,,1,4,No,300000,0,continue LTO-7 -> LTO-9 conversion Jason: Spend on GS Code
6,LTO-9 Drives for Secure HPSS,2022-10-01,,,,1,4,No,200000,0,continue LTO-7 -> LTO-9 conversion Jason: Spend on GS Code
7,Secure Core Server Replacement,2022-10-01,,,,1,5,No,101824,0,Jason: Spend on GS code
