Contract Description,Start Date,End Date,Contract Owner,Vendor,Pct FOUS,Risk (0-5),Funded?,Cost,Total Cost,Notes
Hyperion Research-Industry Reporting,2022-10-01,2023-09-30,Idalia Chacon,,1,2,No,45000,0,Unfunded starting in FY22 remove?
Advanced Cloud Tech Training,2022-10-01,2023-09-30,,,0,0,No,0,0,Moved to PROD0000
Redhat Licenses,2022-10-01,2023-09-30,Katheleen Kelly,,1,5,Yes,2000,2000,Support Services hosts
Trinity Analysts (Davis  Skinner),2022-10-01,2023-09-30,,Cray,0.75,5,Yes,750000,562500,See Note below!
