Contract Description,Start Date,End Date,Contract Owner,Vendor,Pct FOUS,Risk (0-5),Funded?,Cost,Total Cost,Notes
Abba Switch Maintenance Contract,2022-10-01,2023-09-30,Andrew Montoya,Abba,1,,Yes,3000,3000,
DLT Solutions (Redhat Licenses for Hail and Lysander),2022-10-01,2023-09-30,Andrew Montoya,DLT,1,,Yes,8000,8000,
Intel License,2022-10-01,2023-09-30,Andrew Montoya,Intel,1,,Yes,10000,10000,
Ensight,2022-10-01,2023-09-30,Andrew Montoya,Ensight,1,,Yes,20000,20000,
FDR Switch Maintenance,2022-10-01,2023-09-30,Andrew Montoya,,1,,Yes,4000,4000,4792.4
IBM Spectrum Protect License,2022-10-01,2023-09-30,Andrew Montoya,,1,,Yes,42500,42500,
SCI Renewals,2022-10-01,2023-09-30,Andrew Montoya,,1,,Yes,25000,25000,19K for SYS and 6K for ENV
